tau,clarabel,ecos,gurobi,mosek,qoco
5.256791122018422,1.0,0.966,0.334,0.531,1.0
5.281079711934332,1.0,0.967,0.334,0.532,1.0
5.305480525369573,1.0,0.968,0.336,0.535,1.0
5.329994080844089,1.0,0.969,0.34,0.539,1.0
5.354620899273607,1.0,0.969,0.342,0.539,1.0
5.3793615039807,1.0,0.969,0.344,0.541,1.0
5.404216420705916,1.0,0.97,0.346,0.543,1.0
5.429186177618941,1.0,0.972,0.349,0.545,1.0
5.454271305329834,1.0,0.977,0.35,0.546,1.0
5.479472336900287,1.0,0.98,0.351,0.548,1.0
5.50478980785497,1.0,0.982,0.353,0.551,1.0
5.530224256192901,1.0,0.983,0.355,0.555,1.0
5.555776222398876,1.0,0.984,0.358,0.56,1.0
5.581446249454964,1.0,0.986,0.359,0.562,1.0
5.607234882852032,1.0,0.988,0.362,0.564,1.0
5.633142670601354,1.0,0.988,0.362,0.567,1.0
5.659170163246244,1.0,0.99,0.364,0.57,1.0
5.685317913873752,1.0,0.99,0.367,0.574,1.0
5.711586478126432,1.0,0.991,0.369,0.576,1.0
5.737976414214134,1.0,0.992,0.373,0.578,1.0
5.764488282925877,1.0,0.994,0.374,0.581,1.0
5.791122647641759,1.0,0.994,0.378,0.587,1.0
5.8178800743449335,1.0,0.995,0.382,0.588,1.0
5.844761131633635,1.0,0.995,0.384,0.594,1.0
5.871766390733256,1.0,0.996,0.388,0.595,1.0
5.898896425508497,1.0,0.997,0.393,0.598,1.0
5.926151812475554,1.0,0.998,0.399,0.6,1.0
5.953533130814368,1.0,0.998,0.4,0.601,1.0
5.981040962380941,1.0,0.999,0.401,0.605,1.0
6.008675891719687,1.0,0.999,0.402,0.607,1.0
6.036438506075867,1.0,0.999,0.406,0.61,1.0
6.0643293954080635,1.0,0.999,0.41,0.611,1.0
6.09234915240071,1.0,0.999,0.412,0.613,1.0
6.1204983724767,1.0,0.999,0.421,0.614,1.0
6.148777653810023,1.0,0.999,0.426,0.616,1.0
6.1771875973384915,1.0,1.0,0.428,0.617,1.0
6.205728806776502,1.0,1.0,0.432,0.619,1.0
6.234401888627862,1.0,1.0,0.434,0.62,1.0
6.263207452198689,1.0,1.0,0.437,0.622,1.0
6.292146109610344,1.0,1.0,0.438,0.626,1.0
6.321218475812452,1.0,1.0,0.438,0.627,1.0
6.350425168595963,1.0,1.0,0.439,0.628,1.0
6.379766808606281,1.0,1.0,0.444,0.632,1.0
6.4092440193564535,1.0,1.0,0.449,0.633,1.0
6.4388574272404195,1.0,1.0,0.456,0.634,1.0
6.468607661546326,1.0,1.0,0.462,0.635,1.0
6.49849535446989,1.0,1.0,0.465,0.635,1.0
6.528521141127846,1.0,1.0,0.468,0.636,1.0
6.558685659571432,1.0,1.0,0.473,0.64,1.0
6.588989550799949,1.0,1.0,0.476,0.642,1.0
6.619433458774393,1.0,1.0,0.479,0.645,1.0
6.65001803043112,1.0,1.0,0.481,0.647,1.0
6.680743915695613,1.0,1.0,0.482,0.647,1.0
6.711611767496283,1.0,1.0,0.483,0.647,1.0
6.742622241778342,1.0,1.0,0.485,0.649,1.0
6.77377599751775,1.0,1.0,0.487,0.65,1.0
6.805073696735208,1.0,1.0,0.487,0.65,1.0
6.836516004510237,1.0,1.0,0.488,0.65,1.0
6.868103588995304,1.0,1.0,0.491,0.65,1.0
6.899837121430019,1.0,1.0,0.492,0.65,1.0
6.931717276155405,1.0,1.0,0.494,0.653,1.0
6.963744730628224,1.0,1.0,0.496,0.655,1.0
6.995920165435373,1.0,1.0,0.497,0.656,1.0
7.028244264308349,1.0,1.0,0.497,0.656,1.0
7.060717714137772,1.0,1.0,0.497,0.657,1.0
7.093341204987995,1.0,1.0,0.497,0.657,1.0
7.1261154301117475,1.0,1.0,0.498,0.657,1.0
7.159041085964886,1.0,1.0,0.501,0.658,1.0
7.192118872221189,1.0,1.0,0.502,0.659,1.0
7.225349491787214,1.0,1.0,0.502,0.661,1.0
7.258733650817251,1.0,1.0,0.504,0.663,1.0
7.292272058728314,1.0,1.0,0.505,0.663,1.0
7.3259654282152304,1.0,1.0,0.505,0.664,1.0
7.359814475265767,1.0,1.0,0.506,0.665,1.0
