,Unnamed: 0,size,status,setup_time,solve_time,run_time,obj
209,robust_kalman_filter_N_25_i_9,775,optimal,,0.000306963,0.000306963,650.0235639232546
210,robust_kalman_filter_N_25_i_10,775,optimal,,0.000383819,0.000383819,1205.470496559231
211,robust_kalman_filter_N_25_i_11,775,optimal,,0.000381384,0.000381384,1435.828168484975
212,robust_kalman_filter_N_25_i_12,775,optimal,,0.000317195,0.000317195,337.36480377726195
213,robust_kalman_filter_N_25_i_13,775,optimal,,0.000350646,0.000350646,574.9030018036619
214,robust_kalman_filter_N_25_i_14,775,optimal,,0.000349077,0.000349077,632.726251550215
215,robust_kalman_filter_N_25_i_15,775,optimal,,0.00031577,0.00031577,324.21760683176814
216,robust_kalman_filter_N_25_i_16,775,optimal,,0.000350201,0.000350201,1002.2603301246608
217,robust_kalman_filter_N_25_i_17,775,optimal,,0.000342528,0.000342528,565.6364880919948
218,robust_kalman_filter_N_25_i_18,775,optimal,,0.000361469,0.000361469,1030.179011123366
219,robust_kalman_filter_N_25_i_19,775,optimal,,0.00040864,0.00040864,1125.0839708798685
220,robust_kalman_filter_N_50_i_0,1550,optimal,,0.000676111,0.000676111,1242.5057293519162
221,robust_kalman_filter_N_50_i_1,1550,optimal,,0.000683333,0.000683333,2986.4141676822355
222,robust_kalman_filter_N_50_i_2,1550,optimal,,0.000582506,0.000582506,2914.381796780473
223,robust_kalman_filter_N_50_i_3,1550,optimal,,0.000779995,0.000779995,2462.5657533232998
224,robust_kalman_filter_N_50_i_4,1550,optimal,,0.000732584,0.000732584,888.2934252739918
225,robust_kalman_filter_N_50_i_5,1550,optimal,,0.000807147,0.000807147,2676.5565031090523
226,robust_kalman_filter_N_50_i_6,1550,optimal,,0.000871084,0.000871084,2493.980707668769
227,robust_kalman_filter_N_50_i_7,1550,optimal,,0.000708494,0.000708494,1707.4562466711354
228,robust_kalman_filter_N_50_i_8,1550,optimal,,0.000803753,0.000803753,1174.7189488309093
229,robust_kalman_filter_N_50_i_9,1550,optimal,,0.000804405,0.000804405,1733.0776625811118
230,robust_kalman_filter_N_50_i_10,1550,optimal,,0.000731428,0.000731428,1707.4888323249438
231,robust_kalman_filter_N_50_i_11,1550,optimal,,0.000803882,0.000803882,2305.7012401475463
232,robust_kalman_filter_N_50_i_12,1550,optimal,,0.000615188,0.000615188,2691.9800683880508
233,robust_kalman_filter_N_50_i_13,1550,optimal,,0.00068106,0.00068106,2125.9505962611884
234,robust_kalman_filter_N_50_i_14,1550,optimal,,0.000686262,0.000686262,1614.7514310838044
235,robust_kalman_filter_N_50_i_15,1550,optimal,,0.000802826,0.000802826,2204.506350271398
236,robust_kalman_filter_N_50_i_16,1550,optimal,,0.000802635,0.000802635,1245.3581252606375
237,robust_kalman_filter_N_50_i_17,1550,optimal,,0.000848844,0.000848844,2792.4885979695846
